"State","Day","Hospitalizations","ICU","Ventilators"
"West Virginia",2020-05-24,571,66,53
"West Virginia",2020-05-25,528,61,49
"West Virginia",2020-05-26,488,56,45
"West Virginia",2020-05-27,450,51,41
"West Virginia",2020-05-28,415,47,38
"West Virginia",2020-05-29,381,43,34
"West Virginia",2020-05-30,351,39,32
"West Virginia",2020-05-31,322,36,29
"West Virginia",2020-06-01,295,33,26
"West Virginia",2020-06-02,270,30,24
"West Virginia",2020-06-03,247,27,22
"West Virginia",2020-06-04,226,25,20
"West Virginia",2020-06-05,206,22,18
"West Virginia",2020-06-06,188,20,16
"West Virginia",2020-06-07,172,19,15
"West Virginia",2020-06-08,156,17,14
"West Virginia",2020-06-09,143,16,12
"West Virginia",2020-06-10,130,14,11
"West Virginia",2020-06-11,119,13,11
"West Virginia",2020-06-12,109,12,10
"West Virginia",2020-06-13,100,11,9
"West Virginia",2020-06-14,92,10,8
"West Virginia",2020-06-15,85,10,8
"West Virginia",2020-06-16,78,9,7
"West Virginia",2020-06-17,72,8,7
"West Virginia",2020-06-18,67,8,6
"West Virginia",2020-06-19,62,7,6
"West Virginia",2020-06-20,57,7,5
"West Virginia",2020-06-21,52,6,5
"West Virginia",2020-06-22,48,6,4
"West Virginia",2020-06-23,44,5,4
"West Virginia",2020-06-24,40,4,4
"West Virginia",2020-06-25,36,4,3
"West Virginia",2020-06-26,33,3,3
"West Virginia",2020-06-27,29,3,2
"West Virginia",2020-06-28,26,2,2
"West Virginia",2020-06-29,23,2,2
"West Virginia",2020-06-30,20,2,1
"West Virginia",2020-07-01,17,1,1
"West Virginia",2020-07-02,15,1,1
"West Virginia",2020-07-03,13,1,1
"West Virginia",2020-07-04,11,1,1
"West Virginia",2020-07-05,9,1,0
"West Virginia",2020-07-06,7,0,0
"West Virginia",2020-07-07,6,0,0
"West Virginia",2020-07-08,5,0,0
"West Virginia",2020-07-09,4,0,0
"West Virginia",2020-07-10,3,0,0
"West Virginia",2020-07-11,2,0,0
"West Virginia",2020-07-12,2,0,0
"West Virginia",2020-07-13,1,0,0
"West Virginia",2020-07-14,1,0,0
"West Virginia",2020-07-15,1,0,0
"West Virginia",2020-07-16,0,0,0
"West Virginia",2020-07-17,0,0,0
"West Virginia",2020-07-18,0,0,0
"West Virginia",2020-07-19,0,0,0
"West Virginia",2020-07-20,0,0,0
"West Virginia",2020-07-21,0,0,0
"West Virginia",2020-07-22,0,0,0
"West Virginia",2020-07-23,0,0,0
"West Virginia",2020-07-24,0,0,0
"West Virginia",2020-07-25,0,0,0
"West Virginia",2020-07-26,0,0,0
"West Virginia",2020-07-27,0,0,0
"West Virginia",2020-07-28,0,0,0
"West Virginia",2020-07-29,0,0,0
"West Virginia",2020-07-30,0,0,0
"West Virginia",2020-07-31,0,0,0
"West Virginia",2020-08-01,0,0,0
"West Virginia",2020-08-02,0,0,0
"West Virginia",2020-08-03,0,0,0
"West Virginia",2020-08-04,0,0,0
"Washington",2020-04-01,1992,326,261
"Washington",2020-04-02,2044,333,266
"Washington",2020-04-03,2085,339,271
"Washington",2020-04-04,2094,344,275
"Washington",2020-04-05,2137,348,279
"Washington",2020-04-06,2195,351,281
"Washington",2020-04-07,2235,353,283
"Washington",2020-04-08,2308,354,283
"Washington",2020-04-09,2326,354,283
"Washington",2020-04-10,2337,353,282
"Washington",2020-04-11,2342,350,280
"Washington",2020-04-12,2339,347,278
"Washington",2020-04-13,2330,343,274
"Washington",2020-04-14,2314,338,270
"Washington",2020-04-15,2291,332,265
"Washington",2020-04-16,2263,325,260
"Washington",2020-04-17,2228,317,254
"Washington",2020-04-18,2187,308,247
"Washington",2020-04-19,2141,299,239
"Washington",2020-04-20,2091,290,232
"Washington",2020-04-21,2034,279,223
"Washington",2020-04-22,1974,268,215
"Washington",2020-04-23,1911,257,206
"Washington",2020-04-24,1845,246,197
"Washington",2020-04-25,1774,234,187
"Washington",2020-04-26,1702,223,178
"Washington",2020-04-27,1629,211,169
"Washington",2020-04-28,1553,199,159
"Washington",2020-04-29,1476,187,150
"Washington",2020-04-30,1400,176,141
"Washington",2020-05-01,1322,164,131
"Washington",2020-05-02,1248,153,123
"Washington",2020-05-03,1174,143,114
"Washington",2020-05-04,1102,133,106
"Washington",2020-05-05,1030,123,98
"Washington",2020-05-06,961,113,91
"Washington",2020-05-07,892,104,83
"Washington",2020-05-08,826,95,76
"Washington",2020-05-09,761,87,70
"Washington",2020-05-10,700,79,63
"Washington",2020-05-11,643,71,57
"Washington",2020-05-12,588,64,51
"Washington",2020-05-13,536,57,46
"Washington",2020-05-14,487,51,41
"Washington",2020-05-15,443,46,37
"Washington",2020-05-16,403,42,33
"Washington",2020-05-17,363,38,30
"Washington",2020-05-18,327,34,27
"Washington",2020-05-19,293,30,24
"Washington",2020-05-20,261,26,21
"Washington",2020-05-21,231,23,19
"Washington",2020-05-22,206,20,16
"Washington",2020-05-23,182,17,14
"Washington",2020-05-24,160,15,12
"Washington",2020-05-25,141,13,10
"Washington",2020-05-26,123,10,8
"Washington",2020-05-27,107,9,7
"Washington",2020-05-28,93,7,6
"Washington",2020-05-29,80,6,5
"Washington",2020-05-30,69,5,4
"Washington",2020-05-31,58,4,4
"Washington",2020-06-01,48,4,3
"Washington",2020-06-02,39,3,2
"Washington",2020-06-03,32,2,2
"Washington",2020-06-04,26,2,1
"Washington",2020-06-05,22,1,1
"Washington",2020-06-06,18,1,1
"Washington",2020-06-07,14,0,0
"Washington",2020-06-08,11,0,0
"Washington",2020-06-09,8,0,0
"Washington",2020-06-10,6,0,0
"Washington",2020-06-11,5,0,0
"Washington",2020-06-12,3,0,0
"Washington",2020-06-13,2,0,0
"Washington",2020-06-14,1,0,0
"Washington",2020-06-15,1,0,0
"Washington",2020-06-16,1,0,0
"Washington",2020-06-17,0,0,0
"Washington",2020-06-18,0,0,0
"Washington",2020-06-19,0,0,0
"Washington",2020-06-20,0,0,0
"Washington",2020-06-21,0,0,0
"Washington",2020-06-22,0,0,0
"Washington",2020-06-23,0,0,0
"Washington",2020-06-24,0,0,0
"Washington",2020-06-25,0,0,0
"Washington",2020-06-26,0,0,0
"Washington",2020-06-27,0,0,0
"Washington",2020-06-28,0,0,0
"Washington",2020-06-29,0,0,0
"Washington",2020-06-30,0,0,0
"Washington",2020-07-01,0,0,0
"Washington",2020-07-02,0,0,0
"Washington",2020-07-03,0,0,0
"Washington",2020-07-04,0,0,0
"Washington",2020-07-05,0,0,0
"Washington",2020-07-06,0,0,0
"Washington",2020-07-07,0,0,0
"Washington",2020-07-08,0,0,0
"Washington",2020-07-09,0,0,0
"Washington",2020-07-10,0,0,0
"Washington",2020-07-11,0,0,0
"Washington",2020-07-12,0,0,0
"Washington",2020-07-13,0,0,0
"Washington",2020-07-14,0,0,0
"Washington",2020-07-15,0,0,0
"Washington",2020-07-16,0,0,0
"Washington",2020-07-17,0,0,0
"Washington",2020-07-18,0,0,0
"Washington",2020-07-19,0,0,0
"Washington",2020-07-20,0,0,0
"Washington",2020-07-21,0,0,0
"Washington",2020-07-22,0,0,0
"Washington",2020-07-23,0,0,0
"Washington",2020-07-24,0,0,0
"Washington",2020-07-25,0,0,0
"Washington",2020-07-26,0,0,0
"Washington",2020-07-27,0,0,0
"Washington",2020-07-28,0,0,0
"Washington",2020-07-29,0,0,0
"Washington",2020-07-30,0,0,0
"Washington",2020-07-31,0,0,0
"Washington",2020-08-01,0,0,0
"Washington",2020-08-02,0,0,0
"Washington",2020-08-03,0,0,0
"Washington",2020-08-04,0,0,0
"Virginia",2020-04-01,607,109,87
"Virginia",2020-04-02,683,121,97
"Virginia",2020-04-03,756,133,106
"Virginia",2020-04-04,833,146,117
"Virginia",2020-04-05,918,161,128
"Virginia",2020-04-06,973,176,141
"Virginia",2020-04-07,1078,192,153
"Virginia",2020-04-08,1139,208,166
"Virginia",2020-04-09,1240,225,180
"Virginia",2020-04-10,1346,243,195
"Virginia",2020-04-11,1458,262,210
"Virginia",2020-04-12,1573,281,225
"Virginia",2020-04-13,1693,301,241
"Virginia",2020-04-14,1817,321,257
"Virginia",2020-04-15,1947,342,274
"Virginia",2020-04-16,2080,364,291
"Virginia",2020-04-17,2216,386,309
"Virginia",2020-04-18,2355,408,326
"Virginia",2020-04-19,2497,430,344
"Virginia",2020-04-20,2643,452,362
"Virginia",2020-04-21,2795,476,381
"Virginia",2020-04-22,2947,500,400
"Virginia",2020-04-23,3102,524,419
"Virginia",2020-04-24,3259,548,438
"Virginia",2020-04-25,3418,573,458
"Virginia",2020-04-26,3576,597,478
"Virginia",2020-04-27,3738,622,498
"Virginia",2020-04-28,3898,646,517
"Virginia",2020-04-29,4059,670,536
"Virginia",2020-04-30,4216,693,554
"Virginia",2020-05-01,4375,716,573
"Virginia",2020-05-02,4531,739,591
"Virginia",2020-05-03,4685,761,609
"Virginia",2020-05-04,4835,782,625
"Virginia",2020-05-05,4985,802,642
"Virginia",2020-05-06,5125,822,657
"Virginia",2020-05-07,5263,840,672
"Virginia",2020-05-08,5393,857,686
"Virginia",2020-05-09,5520,873,698
"Virginia",2020-05-10,5638,888,710
"Virginia",2020-05-11,5749,901,721
"Virginia",2020-05-12,5847,913,730
"Virginia",2020-05-13,5939,922,738
"Virginia",2020-05-14,6020,930,744
"Virginia",2020-05-15,6091,937,749
"Virginia",2020-05-16,6150,941,753
"Virginia",2020-05-17,6199,944,755
"Virginia",2020-05-18,6232,943,754
"Virginia",2020-05-19,6253,940,752
"Virginia",2020-05-20,6263,937,750
"Virginia",2020-05-21,6256,930,744
"Virginia",2020-05-22,6236,921,737
"Virginia",2020-05-23,6202,909,728
"Virginia",2020-05-24,6152,896,717
"Virginia",2020-05-25,6092,881,705
"Virginia",2020-05-26,6020,865,692
"Virginia",2020-05-27,5936,847,678
"Virginia",2020-05-28,5839,827,662
"Virginia",2020-05-29,5733,808,646
"Virginia",2020-05-30,5615,785,628
"Virginia",2020-05-31,5487,763,610
"Virginia",2020-06-01,5348,739,591
"Virginia",2020-06-02,5202,713,571
"Virginia",2020-06-03,5051,688,551
"Virginia",2020-06-04,4889,661,529
"Virginia",2020-06-05,4725,634,508
"Virginia",2020-06-06,4555,606,485
"Virginia",2020-06-07,4380,578,463
"Virginia",2020-06-08,4203,550,440
