State_From,State_To,Day,Num_Units,DataSource,Fmax,Buffer,SurgeCorrection
Federal,New York,2020-04-15,129.0,ode,0.19999999999999996,0.05,0.5
Federal,New Jersey,2020-04-15,68.0,ode,0.19999999999999996,0.05,0.5
Federal,Louisiana,2020-04-15,28.0,ode,0.19999999999999996,0.05,0.5
Federal,New Jersey,2020-04-16,66.0,ode,0.19999999999999996,0.05,0.5
Federal,Louisiana,2020-04-16,24.0,ode,0.19999999999999996,0.05,0.5
Federal,New Jersey,2020-04-17,203.0,ode,0.19999999999999996,0.05,0.5
Federal,Louisiana,2020-04-17,22.0,ode,0.19999999999999996,0.05,0.5
Federal,Louisiana,2020-04-18,18.0,ode,0.19999999999999996,0.05,0.5
Federal,Louisiana,2020-04-19,14.0,ode,0.19999999999999996,0.05,0.5
Federal,Connecticut,2020-04-19,9.0,ode,0.19999999999999996,0.05,0.5
Federal,Louisiana,2020-04-20,15.0,ode,0.19999999999999996,0.05,0.5
Pennsylvania,New York,2020-04-09,304.0,ode,0.19999999999999996,0.05,0.75
Ohio,New York,2020-04-09,276.0,ode,0.19999999999999996,0.05,0.75
North Carolina,New Jersey,2020-04-09,196.0,ode,0.19999999999999996,0.05,0.75
Michigan,New York,2020-04-09,187.0,ode,0.19999999999999996,0.05,0.75
Virginia,New Jersey,2020-04-09,142.0,ode,0.19999999999999996,0.05,0.75
Massachusetts,New York,2020-04-09,136.0,ode,0.19999999999999996,0.05,0.75
South Carolina,New Jersey,2020-04-09,106.0,ode,0.19999999999999996,0.05,0.75
Maryland,New Jersey,2020-04-09,100.0,ode,0.19999999999999996,0.05,0.75
Kentucky,New Jersey,2020-04-09,98.0,ode,0.19999999999999996,0.05,0.75
Mississippi,Louisiana,2020-04-09,77.0,ode,0.19999999999999996,0.05,0.75
Indiana,New York,2020-04-09,57.0,ode,0.19999999999999996,0.05,0.75
West Virginia,New Jersey,2020-04-09,54.0,ode,0.19999999999999996,0.05,0.75
Delaware,New Jersey,2020-04-09,22.0,ode,0.19999999999999996,0.05,0.75
Maine,New York,2020-04-09,22.0,ode,0.19999999999999996,0.05,0.75
New Hampshire,New York,2020-04-09,22.0,ode,0.19999999999999996,0.05,0.75
Rhode Island,New Jersey,2020-04-09,20.0,ode,0.19999999999999996,0.05,0.75
Massachusetts,New Jersey,2020-04-09,13.0,ode,0.19999999999999996,0.05,0.75
Vermont,New York,2020-04-09,9.0,ode,0.19999999999999996,0.05,0.75
Arkansas,Louisiana,2020-04-09,2.0,ode,0.19999999999999996,0.05,0.75
Federal,New York,2020-04-12,291.0,ode,0.19999999999999996,0.05,0.75
Federal,New Jersey,2020-04-12,46.0,ode,0.19999999999999996,0.05,0.75
Federal,New York,2020-04-13,242.0,ode,0.19999999999999996,0.05,0.75
Federal,New Jersey,2020-04-13,76.0,ode,0.19999999999999996,0.05,0.75
Federal,Louisiana,2020-04-13,19.0,ode,0.19999999999999996,0.05,0.75
Federal,New Jersey,2020-04-14,155.0,ode,0.19999999999999996,0.05,0.75
Federal,New York,2020-04-14,83.0,ode,0.19999999999999996,0.05,0.75
Federal,Louisiana,2020-04-14,75.0,ode,0.19999999999999996,0.05,0.75
Federal,New Jersey,2020-04-15,337.0,ode,0.19999999999999996,0.05,0.75
Federal,Louisiana,2020-04-16,93.0,ode,0.19999999999999996,0.05,0.75
Federal,Connecticut,2020-04-19,9.0,ode,0.19999999999999996,0.05,0.75
Pennsylvania,New York,2020-04-09,304.0,ode,0.19999999999999996,0.05,0.9
Ohio,New York,2020-04-09,276.0,ode,0.19999999999999996,0.05,0.9
North Carolina,New Jersey,2020-04-09,196.0,ode,0.19999999999999996,0.05,0.9
Michigan,New York,2020-04-09,187.0,ode,0.19999999999999996,0.05,0.9
Virginia,New Jersey,2020-04-09,142.0,ode,0.19999999999999996,0.05,0.9
Massachusetts,New York,2020-04-09,125.0,ode,0.19999999999999996,0.05,0.9
South Carolina,New Jersey,2020-04-09,106.0,ode,0.19999999999999996,0.05,0.9
Maryland,New Jersey,2020-04-09,100.0,ode,0.19999999999999996,0.05,0.9
Kentucky,New Jersey,2020-04-09,87.0,ode,0.19999999999999996,0.05,0.9
Mississippi,Louisiana,2020-04-09,77.0,ode,0.19999999999999996,0.05,0.9
