State_From,State_To,Day,Num_Units,DataSource,Fmax,Buffer,SurgeCorrection,Lasso
Federal,Massachusetts,2020-04-15,112.0,ihme,0.09999999999999998,0.1,0.5,0.02
Federal,Massachusetts,2020-04-16,107.0,ihme,0.09999999999999998,0.1,0.5,0.02
Federal,Connecticut,2020-04-16,58.0,ihme,0.09999999999999998,0.1,0.5,0.02
Federal,Rhode Island,2020-04-16,29.0,ihme,0.09999999999999998,0.1,0.5,0.02
Federal,New Jersey,2020-04-16,17.0,ihme,0.09999999999999998,0.1,0.5,0.02
Federal,North Dakota,2020-04-16,9.0,ihme,0.09999999999999998,0.1,0.5,0.02
Federal,Alaska,2020-04-16,5.0,ihme,0.09999999999999998,0.1,0.5,0.02
Federal,Massachusetts,2020-04-17,134.0,ihme,0.09999999999999998,0.1,0.5,0.02
Federal,Connecticut,2020-04-17,51.0,ihme,0.09999999999999998,0.1,0.5,0.02
Federal,Rhode Island,2020-04-17,25.0,ihme,0.09999999999999998,0.1,0.5,0.02
Federal,North Dakota,2020-04-17,12.0,ihme,0.09999999999999998,0.1,0.5,0.02
Federal,Alaska,2020-04-17,3.0,ihme,0.09999999999999998,0.1,0.5,0.02
Federal,Massachusetts,2020-04-18,118.0,ihme,0.09999999999999998,0.1,0.5,0.02
Federal,Connecticut,2020-04-18,105.0,ihme,0.09999999999999998,0.1,0.5,0.02
Federal,Alaska,2020-04-18,2.0,ihme,0.09999999999999998,0.1,0.5,0.02
Federal,Rhode Island,2020-04-19,79.0,ihme,0.09999999999999998,0.1,0.5,0.02
Federal,Connecticut,2020-04-19,74.0,ihme,0.09999999999999998,0.1,0.5,0.02
Federal,Massachusetts,2020-04-19,23.0,ihme,0.09999999999999998,0.1,0.5,0.02
Federal,North Dakota,2020-04-19,15.0,ihme,0.09999999999999998,0.1,0.5,0.02
Federal,Maryland,2020-04-19,7.0,ihme,0.09999999999999998,0.1,0.5,0.02
Federal,Alaska,2020-04-19,5.0,ihme,0.09999999999999998,0.1,0.5,0.02
Federal,Connecticut,2020-04-20,60.0,ihme,0.09999999999999998,0.1,0.5,0.02
